min Inj Time,max Inj Time,DTD %,Career Ending Possible Bool,While Pitching/Throwing Bool,While Running/Sliding Bool,Collision Bool,HBP/Fight Bool,Illness Bool,Body Part Code,Diagnosis,descriptive phrase,frequency (1 = rare .. 5 = common),New body part,Chance of re-injury (0 = none. 1 = sometimes. 2 = often),Nagging (0 or 1),Requires surgery (0 = no. 1 = sometimes. 2 = yes),Influence on hitting (0 .. 3),Influence on running (0 .. 3),Influence on throwing  (0 .. 3)
10,25,0,0,1,0,0,0,0,1,肩鎖關節刺激,肩膀的肩鎖關節刺激,1,9,0,1,0,0,0,2,,
45,89,0,0,1,0,0,0,0,1,急性肘部酸痛,急性肘部酸痛,3,8,2,1,1,0,0,3,,
2,6,0,0,0,0,0,0,1,4,過敏反應,對藥物的過敏反應,1,10,0,0,0,1,1,1,,
21,42,0,0,0,0,0,0,1,4,闌尾切除術,闌尾炎,1,10,0,0,0,1,1,1,,
100,150,0,0,1,0,0,0,0,1,關節炎肘部,關節炎肘部,1,8,2,1,0,0,0,3,,
3,5,20,0,0,0,0,0,1,4,氣喘,氣喘,1,11,0,0,0,1,2,0,,
7,90,0,0,1,0,0,0,0,1,肱二頭肌腱炎,肱二頭肌腱炎,2,10,1,1,0,0,0,3,,
30,90,0,0,0,0,1,0,0,2,骨挫傷（膝蓋）,膝蓋骨挫傷,2,6,0,0,0,0,3,0,,
15,25,0,0,0,0,1,1,0,1,骨挫傷（手腕）,手腕骨挫傷,2,7,0,0,0,0,0,3,,
30,100,0,0,1,0,0,0,0,1,肘部骨片,肘部骨片,3,8,0,0,1,0,0,3,,
35,65,0,0,0,0,1,1,0,1,骨髓水腫（手腕）,手腕骨髓水腫,1,7,0,0,0,0,0,3,,
35,65,0,0,0,0,1,1,0,1,骨髓水腫（膝蓋）,膝蓋骨髓水腫,1,7,0,0,0,0,3,0,,
15,75,0,0,1,0,0,0,0,1,骨刺（肘部）,肘部骨刺,2,8,0,0,1,0,0,3,,
120,270,0,0,0,1,1,1,0,1,肘部骨折,肘部骨折,3,8,0,0,1,0,0,3,,
30,60,0,0,0,0,1,1,0,3,鎖骨骨折,鎖骨骨折,1,5,0,0,0,2,2,2,,
48,80,0,0,0,0,1,1,0,1,掌骨鉤骨折,手腕的掌骨鉤骨折,4,7,0,1,1,2,0,1,,
60,120,0,0,0,1,1,1,0,1,手骨折,手骨折,3,7,0,0,1,1,0,3,,
